Name,faction,rarity,cardType,cardSubType,spliced,solbind,1attack,1health,1text,2attack,2health,2text,3attack,3health,3text,Beast,Beast Synergy,Dinosaur,Dinosaur Synergy,Mage,Mage Synergy,Robot,Robot Synergy,Scientist,Scientist Synergy,Spirit,Spirit Synergy,Warrior,Warrior Synergy,Zombie,Zombie Synergy,Replace Setup,Replace Profit,Minion,Minion Synergy,Spell,Spell Synergy,Healing Source,Healing Synergy,Movement,Disruption,Movement Benefit,Armor,Armor Giver,Armor Synergy,Activate,Ready,Free,Upgrade,Upgrade Synergy,Face Burn,Removal,Breakthrough,Breakthrough Giver,Aggressive,Aggressive Giver,Defender,Defender Giver,Stealth,Stealth Giver,Stat Buff,Attack Buff,Health Buff,Stat Debuff,Attack Debuff,Health Debuff,Destruction Synergy,SelfDestruction Activator,Self Damage Payoff,Self Damage Activator,Silence,White Fang,Dragon,Dragon Synergy,Elemental,Elemental Synergy,Plant,Plant Synergy,Exalts,Exalt Synergy,Slay,Reanimate,Deploy,Reanimate Activator,
Bulwark Bash,Alloyin,Rare,Spell,,FALSE,,,,Give a creature 2D this turn. <br> <br> You may deal damage equal to its D to an enemy creature.,,,Give a creature 5D this turn. <br> <br> You may deal damage equal to its D to an enemy creature.,,,Give a creature 10D this turn. <br> <br> You may deal damage equal to its D to an enemy creature.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Captain,Alloyin,Common Rare,Creature,Warrior,TRUE,,2,3,"<b>Deploy:</b> Give your other Warriors +2A,+2H.",4,6,"<b>Deploy:</b> Give your other Warriors +4A,+4H.",4,9,"<b>Deploy:</b> Give your other Warriors +6A,+6H.",0,0,0,0,0,0,0,0,0,0,0,0,1,+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Charge Plated,Alloyin,Common,Modifier,Noncreature,TRUE,,-5,-4,,-3,0,,20,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cypien Augmentation,Alloyin,Rare,Spell,Noncreature,FALSE,,,,"Give your creatures 4D this turn.

If you have a Mage in play, deal 2 damage to all enemy creatures.",,,"Give your creatures 6D this turn.

If you have a Mage in play, deal 3 damage to all enemy creatures.",,,"Give your creatures 10D this turn.

If you have a Mage in play, deal 5 damage to all enemy creatures.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cypien Experimentation,Alloyin,Rare,Spell,Noncreature,FALSE,,,,"Give a creature +2A,+4H. <b>Ready</b> it.

If this is <b>Upgraded</b>, you may play a Gizmo <b>Minion</b>.",,,"Give a creature +4A,+6H. <b>Ready</b> it.

If this is <b>Upgraded</b>, you may play a Mega Gizmo <b>Minion</b>.",,,"Give a creature +6A,+10H. <b>Ready</b> it.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Digitize,Alloyin,Rare,Spell,Noncreature,FALSE,,,,"Give a creature +5A. If it is your only creature in play, give it +5H.",,,"Give a creature +8A. If it is your only creature in play, give it +8H.",,,"Give a creature +12A. If it is your only creature in play, give it +12H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drix,Alloyin,Rare,Creature,Metamind Scientist,FALSE,,1,4,<b>Activate:</b> Play a Gizmo <b>Minion</b>.,2,8,"<b>Activate:</b> Play a Gizmo <b>Minion</b>.

When another one of your creatures replaces a creature, give it +2A,+2H.",4,10,"<b>Activate:</b> Play a Mega Gizmo <b>Minion</b>.

When another one of your creatures replaces a creature, give it +4A,+4H.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drone,Alloyin,Common Rare,Creature,Robot,TRUE,,1,4,"<b>Stealth</b>

When this damages a player, <b>Upgrade</b> a card in your hand, then discard it.",2,8,"<b>Stealth</b>

When this damages a player, <b>Upgrade</b> a card in your hand, then discard it.",3,6,"<b>Stealth</b>

When this damages a player, <b>Upgrade</b> a card in your hand. You may play it for <b>Free</b>.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Duplication Dome,Alloyin,Rare,Spell,Exalt,FALSE,,,,"When you play a creature with <b>Deploy</b> in this lane, give it +2A,+2H.",,,"<b>Deploy:</b> Destroy your [l1] Duplication Dome. You may play a creature with <b>Deploy</b> for <b>Free</b>. <br> <br> When you play a creature with <b>Deploy</b> in this lane, give it +3A,+3H.",,,"<b>Deploy:</b> Destroy your [l1] and [l2] Duplication Dome. You may play a creature with <b>Deploy</b> for <b>Free</b>. <br> <br> When you play a creature with <b>Deploy</b> in this lane, give it +4A,+4H. Then, you may repeat one of its <b>Deploy</b> abilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
Electronet,Alloyin,Common,Spell,Noncreature,FALSE,,,,"Give a creature -5A.

If it has increased A, this is <b>Free</b>.",,,"Give a creature -10A.

If it has increased A, this is <b>Free</b>.",,,"Give a creature -15A.

If it has increased A, this is <b>Free</b>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Attack Buff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Elite Honor Guard,Alloyin,Solbind,Creature,,FALSE,,,,,5,5,"2D <br> <br> If this would be destroyed, <b>Transform</b> it instead.",,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Energy Prison,Alloyin,Common,Spell,Noncreature,FALSE,,,,"Give a creature -7A.

<b>Upgrade</b> a card in your hand, then discard it.",,,"Give a creature -10A.

<b>Upgrade</b> a card in your hand, then discard it.",,,"Give a creature -15A.

<b>Upgrade</b> a card in your hand.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Energy Surge,Alloyin,Common,Spell,Noncreature,FALSE,,,,"You may play a Gizmo <b>Minion</b>.

<b>Upgrade</b> a card in your hand, then discard it.",,,"You may play a Mega Gizmo <b>Minion</b>.

<b>Upgrade</b> a card in your hand, then discard it.",,,"You may play a Mega Gizmo <b>Minion</b>.

<b>Upgrade</b> a card in your hand, then play it for <b>Free</b>.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Upgrade,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Engineer,Alloyin,Rare,Creature,Warrior Scientist,TRUE,,3,6,"<b>Deploy:</b> If you have a creature with D in play, give this +3A.",6,10,"<b>Deploy:</b> If you have a creature with D in play, give this +5A.",10,15,<b>Deploy:</b> Give this +5A for each creature with D you have in play.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Epoch Hawk,Alloyin,Rare,Creature,Mech,FALSE,,4,6,<b>Activate:</b> This swaps lanes with another one of your creatures.,6,10,<b>Activate:</b> This swaps lanes with another one of your creatures.,8,14,<b>Activate:</b> This swaps lanes with another one of your creatures.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Epoch Soldier,Alloyin,Common,Creature,Warrior,FALSE,,4,4,"<b>Deploy:</b> If this is in your leftmost lane, give this +3A. If this is in your rightmost lane give this +3H.",6,6,"<b>Deploy:</b> If this is in your leftmost lane, give this +8A. If this is in your rightmost lane give this +8H.",10,10,"<b>Deploy:</b> If this is in your leftmost lane, give this +12A. If this is in your rightmost lane give this +12H.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forcefield,Alloyin,Common,Spell,Noncreature,FALSE,,,,"Give a creature 6D this turn.

If you play this on a Warrior, it gets +6A.",,,"Give a creature 10D this turn.

If you play this on a Warrior, it gets +10A.",,,"Give a creature 15D this turn.

If you play this on a Warrior, it gets +15A.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forgeplate Yeti,Alloyin,Rare,Creature,Robot Yeti,FALSE,,4,5,"1D

<b>Deploy:</b> Choose a creature. You may deal 1 damage to it for each D on your creatures.",6,7,"2D

<b>Deploy:</b> Choose a creature. You may deal 1 damage to it for each D on your creatures.",7,10,"4D

<b>Deploy:</b> Choose a creature. You may deal 1 damage to it for each D on your creatures.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,*,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Gauntlets of Sulgrim,Alloyin,Common,Spell,Noncreature,FALSE,,,,"You may deal 3 damage to a creature.

You may give a creature 3D this turn.",,,"You may deal 6 damage to a creature.

You may give a creature 6D this turn.",,,"You may deal 10 damage to a creature.

You may give a creature 10D this turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gizzy Mo,Alloyin,Common,Creature,Scientist,FALSE,,2,2,"When this is replaced, give the creature replacing it +2A,+2H. You may play a Gizmo <b>Minion</b>.",5,5,"When this is replaced, give the creature replacing it +5A,+5H. You may play a Gizmo <b>Minion</b>.",6,6,"When this is replaced, give the creature replacing it +6A,+6H. You may play a Mega Gizmo <b>Minion</b>.",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Glitch Scout,Alloyin,Common,Creature,Warrior Mage,FALSE,,3,5,"<b>Mobility</b> 1 <br> <br> <b>Slay:</b> <b>Upgrade</b> a card in your hand, then discard it.",6,8,"<b>Mobility</b> 1 <br> <br> <b>Slay:</b> <b>Upgrade</b> a card in your hand, then discard it.",7,9,"<b>Mobility</b> 1 <br> <br> <b>Slay:</b> <b>Upgrade</b> a card in your hand, then play it for <b>Free</b>.",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Upgrade,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,
Guardian's Wall,Alloyin,Common,Spell,Exalt,FALSE,,,,"<b>Deploy:</b> You may give a creature -5A. <br> <br> When you play a Warrior in this lane, you may give a creature -5A. Then, destroy this.",,,"<b>Deploy:</b> You may give a creature -8A. <br> <br> When you play a Warrior in this lane, you may give a creature -8A. Then, destroy this.",,,"<b>Deploy:</b> You may give a creature -10A. <br> <br> When you play a Warrior in this lane, you may give a creature -10A. Then, destroy this.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,
Heavy Artillery,Alloyin,Common,Spell,Noncreature,FALSE,,,,"You may give a creature +4A.

You may give a creature -4A.",,,"You may give a creature +8A.

You may give a creature -8A.",,,"You may give a creature +12A.

You may give a creature -12A.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Honor Guard,Alloyin,Solbind,Creature,,FALSE,,3,3,2D,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Inventor,Alloyin,Common Common,Creature,Scientist,TRUE,,1,2,<b>Deploy:</b> You may play a Gizmo <b>Minion</b>.,3,4,<b>Deploy:</b> You may play a Gizmo <b>Minion</b>.,3,4,<b>Deploy:</b> You may play a Mega Gizmo <b>Minion</b>.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Isolate,Alloyin,Common,Spell,,FALSE,,,,Deal 8 damage to a creature if it has no creatures adjacent to it.,,,Deal 12 damage to a creature if it has no creatures adjacent to it.,,,Deal 18 damage to a creature if it has no creatures adjacent to it.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Justicar,Alloyin,Common Common,Creature,Warrior,TRUE,,6,4,,6,4,,8,5,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lightforge Sentry,Alloyin,Common,Creature,Spirit,FALSE,,4,2,"2D <br> <br> <b>Deploy</b>, Choose one: <br>    •  Give creatures adjacent to this +2A. <br>    •  Give creatures adjacent to this 2D this turn.",8,3,"3D <br> <br> <b>Deploy</b>, Choose one: <br>    •  Give creatures adjacent to this +3A. <br>    •  Give creatures adjacent to this 3D this turn.",10,5,"5D <br> <br> <b>Deploy</b>, Choose one: <br>    •  Give creatures adjacent to this +5A. <br>    •  Give creatures adjacent to this 5D this turn.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Lucid Echoes,Alloyin,Rare,Spell,Noncreature,FALSE,,,,"<b>Upgrade</b> a card in your hand, then discard it.

You may choose a creature. Deal 1 damage to it for each [l2] and [l3] card in your discard pile. (This effect happens before this is banished.)",,,"<b>Upgrade</b> up to two cards in your hand, then discard them.

You may choose a creature. Deal 2 damage to it for each [l2] and [l3] card in your discard pile. (This effect happens before this is banished.)",,,"<b>Upgrade</b> a card in your hand.

Deal 20 damage to a creature.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
