deckname1;deckname2;forgeborn;L2;L3;L4;factions;numlbl;#>~1stats;#>~2stats;#>~3stats;Creatures;Spells;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;EXALT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;SELFDAMAGE;DESTRUCTION;DEPLOY;READY;FORGEBORN;BATTLE;SLAY;FACE DMG
The Corps of the Prismatic Riddle;The Mending Rexes Guardian;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;48;2/3;3/2;2/3;12;8;0;0;6;0;0;0;0;0;0;0;3;0;0;16;0;0;0;0;0;0;0;0;0;16;0;0;3;0;2;-2;0;0;0;0;-1;0
The Abundant Champs;The Mending Rexes Guardian;Nova;2Nova's Dominion;3Nova's Judgement;4Nova's Might;Uterra|Alloyin;18;1/1;1/0;2/4;13;7;0;0;3;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;1;0;-2;0;0;0;0;1;0
The Mending Rexes Guardian;The Stone Hillbilly Stomachs;Steel Rosetta;2Tinker;3Spell Surge;4Repurpose;Alloyin|Uterra;33;4/4;3/4;4/3;14;6;0;4;3;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;3;2;-1;-1;4;3;0;0;0;0
The Mending Rexes Guardian;Xrath's Governors;Steel Rosetta;2Tinker;3Army Commander;4Repurpose;Alloyin|Nekrium;34;2/1;1/2;0/2;14;6;0;0;3;0;0;0;0;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;4;2;-1;2;8;6;0;0;0;0
The Mending Rexes Guardian;The Corps of the Prismatic Riddle;Steel Rosetta;2Tinker;3Gale Surge;4Repurpose;Alloyin|Tempys;44;2/3;3/2;2/3;12;8;0;0;6;0;0;0;0;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;8;0;0;3;4;2;-2;5;4;0;0;-1;0
The Mending Rexes Guardian;The Valkyries of the Nargath Cape;Steel Rosetta;2Tinker;3Lightning Speed;4Repurpose;Alloyin|Tempys;39;1/5;1/2;3/6;13;7;0;0;3;0;0;-1;0;0;0;0;0;0;0;14;0;2;0;0;0;0;0;0;0;0;0;0;3;4;1;-1;4;6;0;0;0;0
The Valkyries of the Nargath Cape;The Mending Rexes Guardian;Korok;2Demolish;3Lightning Speed;4Earthen Fists;Tempys|Alloyin;25;1/5;1/2;3/6;13;7;0;0;3;0;0;-1;0;0;0;0;0;0;0;14;0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Bulls of Wiping Tremorsaurs;Steel Rosetta;2Tinker;3Nova's Dominion;4Repurpose;Alloyin|Uterra;21;3/5;3/4;3/6;14;6;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;-2;3;4;0;0;-1;0
The Mending Rexes Guardian;Silence's Dying Guard;Steel Rosetta;2Tinker;3Sorrow;4Repurpose;Alloyin|Nekrium;43;1/4;1/3;2/5;14;6;0;0;2;0;0;0;0;2;3;0;0;0;1;0;0;0;0;0;1;0;0;3;0;0;0;0;3;2;-4;16;5;4;0;0;0;0
The Bulls of Wiping Tremorsaurs;The Mending Rexes Guardian;Nova;2Bounty;3Nova's Dominion;4Nova's Might;Uterra|Alloyin;13;3/5;3/4;3/6;14;6;0;0;3;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;-2;0;0;0;0;-1;0
The Mending Rexes Guardian;The Oracles of Arguing Heavens;Steel Rosetta;2Tinker;3Demolish;4Repurpose;Alloyin|Tempys;46;2/2;3/0;3/2;13;7;0;0;5;0;0;-1;3;0;0;0;0;0;0;14;0;3;0;0;0;0;0;4;0;0;0;0;4;2;0;-1;5;3;0;0;-1;0
Silence's Dying Guard;The Mending Rexes Guardian;Cercee;2Shadowcast;3Sorrow;4Army Commander;Nekrium|Alloyin;36;1/4;1/3;2/5;14;6;0;0;2;0;0;0;0;2;3;0;0;0;1;0;0;0;0;0;3;0;0;4;0;0;0;0;4;0;-4;16;0;0;0;0;0;0
The Oracles of Arguing Heavens;The Mending Rexes Guardian;Korok;2Earthen Fists;3Demolish;4Blast Wave;Tempys|Alloyin;36;2/2;3/0;3/2;13;7;0;0;5;0;0;-1;3;0;0;0;0;0;0;14;0;3;0;0;0;0;0;4;0;0;0;0;4;0;0;-1;0;0;0;0;-1;0
The Mending Rexes Guardian;The Arcane Allies;Steel Rosetta;2Tinker;3Frost Blast;4Repurpose;Alloyin|Tempys;60;1/2;1/1;0/2;11;9;0;0;6;0;0;-1;0;0;0;0;0;0;0;27;0;-1;0;0;0;0;0;0;0;9;0;0;3;3;0;-3;6;3;0;0;0;0
The Arcane Allies;The Mending Rexes Guardian;Sunder;2Stim Bolt;3Frost Blast;4Summon the Swarm;Tempys|Alloyin;67;1/2;1/1;0/2;11;9;0;0;6;0;0;-1;0;0;0;0;0;0;0;36;0;-1;0;0;0;0;0;0;0;18;0;0;3;1;0;-3;0;0;0;0;0;0
The Mending Rexes Guardian;The Vikings of Marking Warclaws;Steel Rosetta;2Tinker;3Darkforge Drain;4Repurpose;Alloyin|Uterra;46;2/3;2/2;1/5;12;8;0;0;3;0;0;0;0;0;3;0;0;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;-2;5;3;0;0;0;0
The Bunch of Alluvian and Staying;The Mending Rexes Guardian;Nix Nekyia;2Soulrip;3Dark Summoning;4Endless Death;Nekrium|Alloyin;50;1/5;1/4;1/5;13;7;0;0;3;0;0;0;0;7;3;0;0;0;1;7;0;0;0;0;1;0;6;4;0;0;0;0;4;0;-3;11;0;0;0;0;0;2
The Vikings of Marking Warclaws;The Mending Rexes Guardian;Oros;2Shapeshift;3Darkforge Drain;4Spirit Bond;Uterra|Alloyin;34;2/3;2/2;1/5;12;8;0;0;3;0;0;0;0;0;3;0;0;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;-2;0;0;0;0;0;0
The Mending Rexes Guardian;The Bunch of Alluvian and Staying;Steel Rosetta;2Tinker;3Dark Summoning;4Repurpose;Alloyin|Nekrium;49;1/5;1/4;1/5;13;7;0;0;3;0;0;0;0;7;3;0;0;0;1;7;0;0;0;0;1;0;0;4;0;0;0;0;4;2;-3;6;5;3;0;0;0;2
The Mending Rexes Guardian;The Folk of the Mega Reducing Asir;Steel Rosetta;2Tinker;3Gale Surge;4Repurpose;Alloyin|Tempys;53;1/3;2/3;2/5;13;7;0;3;4;0;0;0;4;0;0;0;0;0;0;14;0;0;2;0;0;-1;0;0;0;7;0;0;3;2;2;-1;3;6;0;0;-2;0
The Folk of the Mega Reducing Asir;The Mending Rexes Guardian;Sunder;2Summon the Swarm;3Gale Surge;4Frost Blast;Tempys|Alloyin;42;1/3;2/3;2/5;13;7;0;3;4;0;0;0;4;0;0;0;0;0;0;14;0;0;2;0;0;-1;0;0;0;7;0;0;3;0;2;-1;0;0;0;0;-2;0
The Mending Rexes Guardian;The Vigilantes of Cleric and Seed;Steel Rosetta;2Tinker;3Shapeshift;4Repurpose;Alloyin|Uterra;22;2/4;2/3;3/6;13;7;0;1;3;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;-2;6;2;0;0;0;0
The Mending Rexes Guardian;The Torturers of Yellow Petrification;Steel Rosetta;2Tinker;3Army Commander;4Repurpose;Alloyin|Nekrium;68;1/1;1/0;1/2;13;7;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;5;2;-4;20;9;12;0;-1;0;0
The Torturers of Yellow Petrification;The Mending Rexes Guardian;Cercee;2Shadowcast;3Army Commander;4Soul Syphon;Nekrium|Alloyin;63;1/1;1/0;1/2;13;7;2;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;5;0;-4;24;6;8;0;-1;0;0
The Mending Rexes Guardian;The Deceiving Hero Perfumers;Steel Rosetta;2Tinker;3Summon the Swarm;4Repurpose;Alloyin|Tempys;45;1/4;1/3;1/5;13;7;0;3;6;0;0;0;0;0;0;0;0;0;1;14;0;0;2;0;0;0;0;0;0;0;2;0;3;3;-1;-3;4;5;0;0;0;0
The Vigilantes of Cleric and Seed;The Mending Rexes Guardian;Oros;2Darkforge Drain;3Shapeshift;4Spell Surge;Uterra|Alloyin;26;2/4;2/3;3/6;13;7;0;1;3;0;0;0;0;0;0;0;0;2;0;14;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;-2;0;0;0;0;0;0
The Deceiving Hero Perfumers;The Mending Rexes Guardian;Sunder;2Frost Blast;3Summon the Swarm;4Gale Surge;Tempys|Alloyin;34;1/4;1/3;1/5;13;7;0;3;6;0;0;0;0;0;0;0;0;0;1;14;0;0;2;0;0;0;0;0;0;0;2;0;3;1;-1;-3;0;0;0;0;0;0
Innumerable of Crawler and West;The Mending Rexes Guardian;Cercee;2Sorrow;3Shadowcast;4Soul Syphon;Nekrium|Alloyin;41;1/2;1/1;0/3;12;8;0;0;3;0;0;0;0;4;4;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;5;0;-2;6;3;2;0;-1;0;0
The Mending Rexes Guardian;Regiment of Sprite and Warclaw;Steel Rosetta;2Tinker;3Shapeshift;4Repurpose;Alloyin|Uterra;23;2/5;3/4;3/6;13;7;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;-3;6;3;0;0;-1;0
Regiment of Sprite and Warclaw;The Mending Rexes Guardian;Oros;2Darkforge Drain;3Shapeshift;4Spirit Bond;Uterra|Alloyin;19;2/5;3/4;3/6;13;7;0;2;3;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;3;1;0;-3;0;0;0;0;-1;0
The Mending Rexes Guardian;Innumerable of Crawler and West;Steel Rosetta;2Tinker;3Shadowcast;4Repurpose;Alloyin|Nekrium;46;1/2;1/1;0/3;12;8;0;0;3;0;0;0;0;4;4;0;0;0;0;0;0;2;0;0;0;0;0;10;0;0;0;0;5;2;-2;4;6;4;0;-1;0;0
The Mending Rexes Guardian;The Ornate Sipping Egg Guides;Steel Rosetta;2Tinker;3Demolish;4Repurpose;Alloyin|Tempys;44;2/5;3/3;1/5;14;6;0;0;6;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;-3;4;6;0;0;-1;0
The Ornate Sipping Egg Guides;The Mending Rexes Guardian;Korok;2Lightning Speed;3Demolish;4Earthen Fists;Tempys|Alloyin;30;2/5;3/3;1/5;14;6;0;0;6;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;-3;0;0;0;0;-1;0
The Mending Rexes Guardian;The Arid Monkey Wolves;Steel Rosetta;2Tinker;3Bounty;4Repurpose;Alloyin|Uterra;34;1/3;2/2;2/4;12;8;0;6;2;0;0;3;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;-1;2;2;0;0;-1;0
The Arid Monkey Wolves;The Mending Rexes Guardian;Nova;2Nova's Might;3Bounty;4Nova's Dominion;Uterra|Alloyin;29;1/3;2/2;2/4;12;8;0;6;2;0;0;4;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;-1;0;0;0;0;-1;0
The Vigilantes of the Titanic Druid;The Mending Rexes Guardian;Oros;2Darkforge Drain;3Spell Surge;4Shapeshift;Uterra|Alloyin;42;1/4;2/3;3/6;12;8;0;0;3;0;0;4;0;0;0;0;0;0;0;24;2;0;0;0;0;0;0;0;0;0;0;0;3;4;0;-1;0;0;0;0;-1;0
The Aunts who became Ticklers;The Mending Rexes Guardian;Korok;2Earthen Fists;3Demolish;4Lightning Speed;Tempys|Alloyin;51;5/2;5/1;4/3;14;6;0;0;4;0;0;0;0;0;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;12;0;0;3;0;0;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Vigilantes of the Titanic Druid;Steel Rosetta;2Tinker;3Spell Surge;4Repurpose;Alloyin|Uterra;47;1/4;2/3;3/6;12;8;0;0;3;0;0;4;0;0;0;0;0;0;0;16;2;0;0;0;0;0;0;0;0;0;0;0;3;8;0;-1;7;2;0;0;-1;0
The Mending Rexes Guardian;The Aunts who became Ticklers;Steel Rosetta;2Tinker;3Demolish;4Repurpose;Alloyin|Tempys;62;5/2;5/1;4/3;14;6;0;0;4;0;0;0;0;0;0;0;0;0;1;30;0;0;0;0;0;0;0;0;0;12;0;0;3;2;0;-1;6;3;0;0;0;0
The Mending Rexes Guardian;Vice's Quoting Custodians;Steel Rosetta;2Tinker;3Shadowcast;4Repurpose;Alloyin|Nekrium;53;3/3;3/3;2/5;13;7;0;0;2;0;0;0;0;2;2;0;0;0;1;14;0;1;0;0;0;0;0;4;0;7;0;0;4;2;2;4;5;2;0;0;-1;0
The Upstaging Eternity Worms;The Mending Rexes Guardian;Nix Nekyia;2Soulrip;3Endless Death;4Dark Ritual;Nekrium|Alloyin;77;2/1;2/0;2/1;13;7;2;0;3;0;3;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;6;0;0;14;0;0;3;0;2;22;4;3;0;0;-2;0
The Mending Rexes Guardian;The Upstaging Eternity Worms;Steel Rosetta;2Tinker;3Endless Death;4Repurpose;Alloyin|Nekrium;74;2/1;2/0;2/1;13;7;2;0;3;0;3;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;14;0;0;3;2;2;16;8;6;0;0;-2;0
Vice's Quoting Custodians;The Mending Rexes Guardian;Cercee;2Army Commander;3Shadowcast;4Sorrow;Nekrium|Alloyin;46;3/3;3/3;2/5;13;7;0;0;2;0;0;0;0;2;2;0;0;0;1;14;0;1;0;0;0;0;0;5;0;7;0;0;5;0;2;4;0;0;0;0;-1;0
The Mending Rexes Guardian;The Companions of the Void;Steel Rosetta;2Tinker;3Army Commander;4Repurpose;Alloyin|Nekrium;41;1/1;1/2;2/4;13;7;0;0;3;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;2;-2;2;8;4;0;0;0;1
The Companions of the Void;The Mending Rexes Guardian;Cercee;2Soul Syphon;3Army Commander;4Sorrow;Nekrium|Alloyin;35;1/1;1/2;2/4;13;7;0;0;3;0;0;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;5;0;-2;4;4;2;0;0;0;1
The Mending Rexes Guardian;The Chieftains of Dripping Loti;Steel Rosetta;2Tinker;3Nova's Dominion;4Repurpose;Alloyin|Uterra;27;2/1;2/1;1/2;12;8;0;1;3;0;0;0;4;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;0;-2;7;2;0;0;0;0
The Mending Rexes Guardian;The Murderous Totem Empresses;Steel Rosetta;2Tinker;3Dark Ritual;4Repurpose;Alloyin|Nekrium;53;2/2;3/2;2/5;13;7;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;4;2;-1;3;18;9;0;-1;0;-1
The Chieftains of Dripping Loti;The Mending Rexes Guardian;Nova;2Nova's Judgement;3Nova's Dominion;4Bounty;Uterra|Alloyin;17;2/1;2/1;1/2;12;8;0;1;3;0;0;0;4;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;0;-2;0;0;0;0;0;0
The Angry Wedding Bizarre Archers;The Mending Rexes Guardian;Oros;2Spell Surge;3Spirit Bond;4Shapeshift;Uterra|Alloyin;22;2/5;4/3;3/6;13;7;0;4;3;0;0;0;0;0;2;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Madness Wrestlers;Steel Rosetta;2Tinker;3Lightning Speed;4Repurpose;Alloyin|Tempys;59;3/2;3/2;2/3;12;8;0;0;3;0;0;0;4;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;8;0;0;3;2;0;-1;3;3;0;0;0;0
The Mending Rexes Guardian;The Angry Wedding Bizarre Archers;Steel Rosetta;2Tinker;3Spirit Bond;4Repurpose;Alloyin|Uterra;25;2/5;4/3;3/6;13;7;0;4;3;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3;0;-1;6;2;0;0;0;0
Cluster of Visiting and Collecting;The Mending Rexes Guardian;Korok;2Demolish;3Lightning Speed;4Earthen Fists;Tempys|Alloyin;32;3/4;3/1;2/4;13;7;0;0;10;0;0;0;0;0;0;0;1;0;1;14;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;-2;0;0;0;0;-1;0
The Murderous Totem Empresses;The Mending Rexes Guardian;Nix Nekyia;2Endless Death;3Dark Ritual;4Dark Summoning;Nekrium|Alloyin;44;2/2;3/2;2/5;13;7;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;4;0;-1;5;12;6;0;-1;0;-1
The Mending Rexes Guardian;Cluster of Visiting and Collecting;Steel Rosetta;2Tinker;3Lightning Speed;4Repurpose;Alloyin|Tempys;44;3/4;3/1;2/4;13;7;0;0;10;0;0;0;0;0;0;0;1;0;1;14;0;0;0;0;1;0;0;0;0;0;0;0;3;4;0;-2;4;4;0;0;-1;0
The Madness Wrestlers;The Mending Rexes Guardian;Korok;2Demolish;3Lightning Speed;4Blast Wave;Tempys|Alloyin;51;3/2;3/2;2/3;12;8;0;0;3;0;0;0;4;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;8;0;0;3;0;0;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Harming Mad Glutton Scientists;Steel Rosetta;2Tinker;3Deathtouch;4Repurpose;Alloyin|Nekrium;23;1/1;1/0;1/1;13;7;1;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;-3;3;3;4;0;0;0;0
The Simian Raid Guides;The Mending Rexes Guardian;Oros;2Growth Aura;3Darkforge Drain;4Barkskin;Uterra|Alloyin;50;2/4;2/3;1/6;12;8;0;3;3;0;0;1;0;0;4;0;0;0;0;16;6;0;0;0;0;0;0;0;0;8;0;0;3;2;0;-1;0;0;3;0;0;0
The Mending Rexes Guardian;The Simian Raid Guides;Steel Rosetta;2Tinker;3Darkforge Drain;4Repurpose;Alloyin|Uterra;57;2/4;2/3;1/6;12;8;0;3;3;0;0;1;0;0;4;0;0;0;0;16;4;0;0;0;0;0;0;0;0;8;0;0;3;4;0;-1;3;3;4;0;0;0
The Mending Rexes Guardian;The Opalescent Ancient Bunch;Steel Rosetta;2Tinker;3Demolish;4Repurpose;Alloyin|Tempys;37;3/3;5/3;5/4;13;7;0;0;9;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;3;2;0;-1;5;2;0;0;0;0
The Harming Mad Glutton Scientists;The Mending Rexes Guardian;Cercee;2Life Drain;3Deathtouch;4Army Commander;Nekrium|Alloyin;16;1/1;1/0;1/1;13;7;1;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;4;0;-3;3;0;0;0;0;0;0
The Opalescent Ancient Bunch;The Mending Rexes Guardian;Korok;2Lightning Speed;3Demolish;4Whirlwind;Tempys|Alloyin;28;3/3;5/3;5/4;13;7;0;0;9;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Order of Winter and Crushing;Steel Rosetta;2Tinker;3Barkskin;4Repurpose;Alloyin|Uterra;32;1/4;1/1;1/6;13;7;0;0;3;0;0;0;4;0;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;3;2;-1;-1;5;3;0;0;0;0
The Club Farmers;The Mending Rexes Guardian;Oros;2Growth Aura;3Darkforge Drain;4Shapeshift;Uterra|Alloyin;28;2/3;2/1;2/4;13;7;0;0;3;0;0;0;4;0;2;0;0;0;0;7;3;0;0;3;0;0;0;0;0;0;0;0;3;1;-1;-1;0;0;0;0;0;0
The Randomness Army;The Mending Rexes Guardian;Cercee;2Life Drain;3Army Commander;4Soul Syphon;Nekrium|Alloyin;48;2/2;2/1;2/3;13;7;0;0;2;0;2;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;6;0;-3;9;4;3;0;0;0;0
The Mending Rexes Guardian;The Club Farmers;Steel Rosetta;2Tinker;3Darkforge Drain;4Repurpose;Alloyin|Uterra;36;2/3;2/1;2/4;13;7;0;0;3;0;0;0;4;0;2;0;0;0;0;7;2;0;0;3;0;0;0;0;0;0;0;0;3;3;-1;-1;4;3;0;0;0;0
The Mending Rexes Guardian;The Fifth Training Invaders;Steel Rosetta;2Tinker;3Stim Bolt;4Repurpose;Alloyin|Tempys;56;3/3;2/1;4/3;12;8;0;0;3;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;-1;8;0;0;3;2;-2;1;3;3;0;0;0;0
