deckname;value;avglbl;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The Masters of Swearing|The Champions of the Whisker;0.0000;13.0000;0;2.0;1.0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Overseers of Sparky;0.0000;13.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;4.0;0;0;0;0;0
The Masters of Swearing|The Savants of the Ending Predator;0.0000;15.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;2.0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Hermit Spiders;0.0000;14.0000;0;3.0;1.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The King Varna Generals;0.0000;15.0000;0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;3.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Pondering Iron Advisers;0.0000;15.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0.5;0;1.0;0;0;0;4.0;0;0;0;0;0
The Masters of Swearing|The Company of Botany;0.0000;10.0000;0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Raiders of Leading Capitals;0.0000;17.0000;0;0;0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The Masters of Swearing|The Mice of the Fierce Fur;0.0021;13.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.5;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Protectors of the Saving Herbs;0.0000;11.0000;0;0;1.0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Crossing Soul Hags;0.0000;13.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Professing Watchdogs;0.0000;7.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Group of Brass Conspiracies;0.0000;15.0000;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;2.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Fleeing Feasting Brother Flock;0.0000;10.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Imps of Descending Chiron;0.0000;11.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|Outfit of Camping and Waving;0.0000;11.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
The Quantums of Metal and Faith|The Masters of Swearing;0.0000;21.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0.5;0;0;0;0;0;4.0;0;0;0;0;0
The Phalanx of Everflow Treefolk|The Masters of Swearing;0.0000;10.0000;0;3.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
The Champions of the Whisker|The Masters of Swearing;0.0000;13.0000;0;2.0;1.0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Overseers of Sparky|The Masters of Swearing;0.0000;13.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;4.0;0;0;0;0;0
The Savants of the Ending Predator|The Masters of Swearing;0.0000;15.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;2.0;0;0;0;0;0;0;0;0
The Hermit Spiders|The Masters of Swearing;0.0000;14.0000;0;3.0;1.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0
The King Varna Generals|The Masters of Swearing;0.0000;15.0000;0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;3.0;0;0;0;0;0;0;0;0;0
The Pondering Iron Advisers|The Masters of Swearing;0.0000;15.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0.5;0;1.0;0;0;0;4.0;0;0;0;0;0
The Company of Botany|The Masters of Swearing;0.0000;10.0000;0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Raiders of Leading Capitals|The Masters of Swearing;0.0000;17.0000;0;0;0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The Mice of the Fierce Fur|The Masters of Swearing;0.0021;13.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.5;0;0;0;0;0;0;0;0;0
The Protectors of the Saving Herbs|The Masters of Swearing;0.0000;11.0000;0;0;1.0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Crossing Soul Hags|The Masters of Swearing;0.0000;13.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;1.0;0;0;0;0;0;0;0;0;0
The Professing Watchdogs|The Masters of Swearing;0.0000;7.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Group of Brass Conspiracies|The Masters of Swearing;0.0000;15.0000;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;2.0;0;0;0;0;0;0;0;0;0
The Fleeing Feasting Brother Flock|The Masters of Swearing;0.0000;10.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Imps of Descending Chiron|The Masters of Swearing;0.0000;11.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;0
Outfit of Camping and Waving|The Masters of Swearing;0.0000;11.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
