deckname;value;avglbl;range1;range2;range3;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;FORGEBORN;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
Day's Locksmiths|The Former Hoping Valkyrie Trustees;0.0145;42.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;8.0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;8.0;0;1.0;0;0;5.0;2.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Simple Lords;0.0044;35.0000;WARRIOR;WARRIOR;;0;0;0;0;0;0;5.0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;8.0;0;0;0;0;3.0;0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Fire Breathers of the Heartseeker;0.0491;60.0000;WARRIOR;MAGE;;0;0;0;0;0;0;1.0;0;0;0;0;0;4.0;0;0;0;1.0;0;0;0;1.0;0;4.0;0;0;1.0;4.0;0;2.0;0;0;5.0;1.0;0;16.0;0;0;0;0;0;0
Day's Locksmiths|Army of Alpha and Curing;0.0425;49.0000;WARRIOR;BEAST;;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;9.0;0;0;1.0;5.0;7.0;2.0;0;0;3.0;0;0;0;0;0
Day's Locksmiths|The Hurting Demons Larvae;0.0230;65.0000;WARRIOR;;;0;0;0;0;0;0;1.0;0;0;0;0;0;8.0;0;0;0;1.0;0;0;1.0;1.0;0;4.0;0;0;1.0;4.0;0;0;2.0;10.0;5.0;1.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Liches of Rebirth and Duskmaw;0.0220;53.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;4.0;0;0;0;2.0;0;0;0;4.0;0;0;0;0;1.0;4.0;0;0;1.0;5.0;8.0;2.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Fortelling Aggravating Ticklers;0.0254;53.0000;WARRIOR;SPELL;;0;0;0;0;0;0;0;0;0;0;0;0;8.666666666666666;0;0;0;2.0;0;0;0;1.0;0;0;6.666666666666666;0;1.0;9.666666666666666;0;0;0;0;7.0;2.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Opening Sisters Liches;0.0404;87.0000;WARRIOR;ZOMBIE;;0;0;0;0;1.0;0;0;1.0;0;0;0;0;8.0;0;0;0;2.0;0;0;1.0;8.0;0;0;0;0;2.0;4.0;0;0;3.0;15.0;4.0;2.0;0;0;0;0;0;0;0;0
Day's Locksmiths|Vindicators of Sobbing and Baking;0.0083;39.0000;WARRIOR;DINOSAUR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;2.0;0;0;5.0;2.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|Brigade of Druid and Weird;0.0046;50.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;2.0;12.0;0;0;1.0;5.0;8.0;1.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Raiders of Hound and Mask;0.0478;77.0000;WARRIOR;ZOMBIE;ZOMBIE;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;2.0;0;0;0;4.0;0;0;0;0;1.0;4.0;0;0;3.0;15.0;5.0;2.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Sorcerers of the Oratek Eruptor;0.0810;74.0000;WARRIOR;SPELL;;0;0;0;0;0;0;4.0;0;0;0;0;0;12.0;0;0;0;2.0;0;0;0;1.0;0;4.0;0;0;1.0;4.0;0;1.0;0;0;6.0;2.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Farmers of the Spiky Tunnels;0.0115;34.0000;WARRIOR;BEAST;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;13.0;0;0;0;0;4.0;2.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Sixth Barb Band;0.0425;66.0000;WARRIOR;ZOMBIE;ZOMBIE;0;0;0;0;0;0;1.0;2.0;0;0;0;0;0;0;0;0;1.0;0;0;0;9.0;0;0;0;0;3.0;4.0;0;1.0;1.0;5.0;6.0;1.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Masters of Swearing;0.0071;51.0000;WARRIOR;MAGE;;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;8.0;0;1.0;0;0;5.0;1.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Phalanx of Everflow Treefolk;0.0047;45.0000;WARRIOR;WARRIOR;;0;0;0;0;0;0;10.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;8.0;0;0;0;0;5.0;1.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Champions of the Whisker;0.0540;59.0000;WARRIOR;;;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;2.0;0;0;0;2.0;0;0;0;0;2.0;12.0;0;0;1.0;5.0;8.0;2.0;0;0;3.0;0;0;0;0;0
Day's Locksmiths|Doctors of Tatoo and Comparing;0.0542;60.0000;WARRIOR;MAGE;;0;0;0;0;0;0;1.0;0;0;0;0;0;12.0;0;2.0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;2.0;0;0;5.0;2.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Savants of the Ending Predator;0.0453;54.0000;WARRIOR;ZOMBIE;MINION;0;0;0;0;1.0;0;2.0;1.0;5.0;0;0;0;4.0;0;0;0;1.0;0;0;0;5.0;0;0;0;0;2.0;4.0;0;0;0;0;7.0;1.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Hermit Spiders;0.0588;54.0000;WARRIOR;;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;13.0;0;0;1.0;5.0;7.0;2.0;1.0;0;3.0;0;0;0;0;0
Day's Locksmiths|The Host of the Confident Miracles;0.0046;37.0000;WARRIOR;;;0;0;0;0;0;0;5.0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;2.0;0;0;7.0;0;0;0;0;0;0;0;0;0
Day's Locksmiths|The King Varna Generals;0.0093;43.0000;WARRIOR;;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;0;2.0;10.0;3.0;1.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Company of Botany;0.0055;45.0000;WARRIOR;;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;2.0;12.0;0;0;1.0;5.0;6.0;0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Monks of the Great Quitting Fire;0.0253;52.0000;WARRIOR;MAGE;;0;0;0;0;0;0;1.0;0;5.0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;1.0;0;0;4.0;2.0;0;20.0;0;0;0;0;0;0
Day's Locksmiths|The Mice of the Fierce Fur;0.0029;36.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;2.0;4.0;0;0;1.0;6.0;6.0;1.0;1.0;0;0;0;0;0;0;0
Day's Locksmiths|The Senseis who became Champs;0.0244;57.0000;WARRIOR;;;0;0;0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;2.0;0;0;4.0;2.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Crossing Soul Hags;0.0181;61.0000;WARRIOR;SPIRIT;ZOMBIE;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;1.0;0;0;0;9.0;0;0;0;0;3.0;4.0;0;1.0;1.0;5.0;5.0;1.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Group of Brass Conspiracies;0.0107;63.0000;WARRIOR;ZOMBIE;;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;0;2.0;10.0;3.0;2.0;0;12.0;0;0;0;0;0;0
Day's Locksmiths|The Fleeing Feasting Brother Flock;0.0110;49.0000;WARRIOR;;;0;0;0;0;0;0;5.0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;1.0;0;4.0;0;0;1.0;8.0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Squadron of the Fire;0.0350;60.0000;WARRIOR;MAGE;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;4.0;0;0;4.0;2.0;0;12.0;0;0;0;0;0;0
Day's Locksmiths|The Imps of Descending Chiron;0.0239;52.0000;WARRIOR;ZOMBIE;;0;0;0;0;0;0;0;1.0;10.0;0;0;0;0;0;0;0;2.0;0;0;0;5.0;0;0;0;0;2.0;4.0;0;0;1.0;5.0;4.0;2.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|Outfit of Camping and Waving;0.0228;38.0000;WARRIOR;;;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;8.0;0;0;0;0;6.0;2.0;1.0;0;3.0;0;0;0;0;0
The Heralds of Silk Collection|Day's Locksmiths;0.0224;67.0000;SPELL;WARRIOR;;0;0;0;0;0;0;2.0;0;0;0;0;0;23.0;0;0;0;1.0;0;0;0;0;0;8.0;0;0;0;4.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Wrongdoing's Suspending Workers;0.0563;67.0000;SPELL;BEAST;;1.0;0;2.0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;2.0;0;0;0;3.0;0;4.0;2.0;1.0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Causing Titanic Venom Wildlings;0.0084;52.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Mutant Constructing Gang;0.0258;70.0000;SPELL;ROBOT;MAGE;0;0;5.0;0;0;0;0;0;2.0;0;0;0;18.0;0;2.0;0;0;0;0;0;0;0;6.0;0;3.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Wiry Antique Governors;0.0325;67.0000;SPELL;ZOMBIE;ZOMBIE;0;0;0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;2.0;0;8.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Scavenger Rabid Daggers;0.0070;55.0000;SPELL;;;0;0;0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Heralds of Silk Collection|The People of Bearing;0.0715;90.0000;SPELL;ROBOT;;0;0;1.0;0;0;0;0;0;2.0;0;0;0;21.0;0;0;0;0;0;0;0;0;0;6.0;2.0;1.0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Creeping Hell Protectors;0.0399;54.0000;SPELL;ZOMBIE;;0;0;0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Venom's Fifth Swarm;0.0091;48.0000;SPELL;;;0;0;0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Tentacles of the Diseased Bone;0.0704;93.0000;SPELL;MINION;;0;0;0;0;0;0;0;0;4.0;0;0;0;21.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;4.0;0;2.0;2.0;1.0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Sentrys of Failure Faith;0.0533;62.0000;SPELL;WARRIOR;;0;0;0;0;0;0;2.0;0;2.0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Omnivore Brutish Herders;0.0122;60.0000;SPELL;WARRIOR;;0;0;1.0;0;0;0;2.0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Simple Lords;0.0182;64.0000;SPELL;WARRIOR;;0;0;0;0;0;0;2.0;0;2.0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Army of Alpha and Curing;0.0473;68.0000;SPELL;BEAST;;1.0;0;2.0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;1.0;0;0;0;0;0;6.0;0;2.0;0;1.0;0;0;0;2.0;0;0;0;0;3.0;0;0;0;0;0
The Heralds of Silk Collection|The Mothers of the Plutonium Echo;0.0302;59.0000;SPELL;ROBOT;ARMOR, WARRIOR;0;0;0;0;0;0;4.0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Hurting Demons Larvae;0.0432;84.0000;SPELL;;;0;0;2.0;0;0;0;0;0;0;0;0;0;24.0;0;0;0;0;0;0;0;0;0;9.0;0;2.0;0;0;0;1.0;0;4.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Aunts of Bleeding Brightsteel;0.0181;68.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;3.0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Liches of Rebirth and Duskmaw;0.0627;73.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;21.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;3.0;0;2.0;2.0;1.0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Opening Sisters Liches;0.0529;92.0000;SPELL;ZOMBIE;;0;0;1.0;0;0;0;0;0;0;0;0;0;24.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;2.0;0;6.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Brigade of Druid and Weird;0.0142;51.0000;SPELL;;;0;0;0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Sparky's Attentive Combatants;0.0263;62.0000;SPELL;WARRIOR;;0;0;3.0;0;0;0;2.0;0;0;0;0;0;18.0;0;2.0;0;0;0;0;0;0;0;6.0;0;3.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Raiders of Hound and Mask;0.0653;86.0000;SPELL;ZOMBIE;ZOMBIE;0;0;1.0;0;0;0;0;0;0;0;0;0;26.0;0;0;0;0;0;0;0;0;0;8.0;0;1.0;0;0;0;1.0;0;6.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Serious Silver Soldiers;0.0134;61.0000;SPELL;ARMOR;;0;0;0;0;0;0;2.0;0;0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Farmers of the Spiky Tunnels;0.0108;51.0000;SPELL;BEAST;;1.0;0;3.0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;3.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Sixth Barb Band;0.0539;83.0000;SPELL;ZOMBIE;ZOMBIE;1.0;0;1.0;0;0;0;0;0;0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;8.0;0;1.0;0;0;0;3.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Quantums of Metal and Faith;0.0461;75.0000;SPELL;;;0;0;2.0;0;0;0;0;0;0;0;0;0;24.0;0;0;0;0;0;0;0;0;0;6.0;2.0;2.0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Phalanx of Everflow Treefolk;0.0211;63.0000;SPELL;WARRIOR;;0;0;0;0;0;0;4.0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Champions of the Whisker;0.0239;66.0000;SPELL;;;0;0;1.0;0;0;0;0;0;2.0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;0;0;2.0;0;0;0;0;3.0;0;0;0;0;0
The Heralds of Silk Collection|The Overseers of Sparky;0.0246;63.0000;SPELL;;;0;0;2.0;0;0;0;2.0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;2.0;0;2.0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Savants of the Ending Predator;0.0474;71.0000;SPELL;ZOMBIE;MINION;0;0;2.0;0;0;0;0;0;2.0;0;0;0;21.0;0;0;0;0;0;0;0;0;0;6.0;0;2.0;0;0;0;2.0;0;0;2.0;1.0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Hermit Spiders;0.0349;59.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;1.0;0;0;0;0;0;4.0;0;1.0;0;1.0;0;0;0;2.0;0;0;0;0;3.0;0;0;0;0;0
The Heralds of Silk Collection|The King Varna Generals;0.0142;64.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;3.0;0;4.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Pondering Iron Advisers;0.0341;74.0000;SPELL;ROBOT;;0;0;1.0;0;0;0;2.0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;2.0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Company of Botany;0.0080;60.0000;SPELL;;;0;0;1.0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Raiders of Leading Capitals;0.0414;78.0000;SPELL;ROBOT;;0;0;0;0;0;0;0;0;0;0;0;0;28.0;0;0;0;1.0;0;0;0;0;0;10.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Mice of the Fierce Fur;0.0123;61.0000;SPELL;;;0;0;0;0;0;0;0;0;0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;1.0;0;3.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Protectors of the Saving Herbs;0.0253;63.0000;SPELL;ROBOT;;0;0;1.0;0;0;0;0;0;2.0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Crossing Soul Hags;0.0264;66.0000;SPELL;SPIRIT;ZOMBIE;0;0;0;0;0;0;0;0;0;0;0;0;18.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;3.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Professing Watchdogs;0.0111;56.0000;SPELL;ROBOT;;0;0;1.0;0;0;0;0;0;0;0;0;0;13.0;0;0;0;0;0;0;0;0;0;4.0;0;1.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Group of Brass Conspiracies;0.0326;78.0000;SPELL;ZOMBIE;;0;0;0;0;0;0;0;0;0;0;0;0;23.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;3.0;0;4.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Fleeing Feasting Brother Flock;0.0349;70.0000;SPELL;;;0;0;1.0;0;0;0;2.0;0;0;0;0;0;21.0;0;0;0;0;0;0;0;0;0;9.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|The Imps of Descending Chiron;0.0118;48.0000;SPELL;ZOMBIE;;0;0;0;0;0;0;0;0;4.0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;4.0;0;2.0;0;0;0;0;0;0;0;0;0;0
The Heralds of Silk Collection|Outfit of Camping and Waving;0.0408;66.0000;SPELL;;;0;0;1.0;0;0;0;2.0;0;0;0;0;0;23.0;0;0;0;1.0;0;0;0;0;0;8.0;0;1.0;0;0;0;1.0;0;0;0;0;0;0;3.0;0;0;0;0;0
Wrongdoing's Suspending Workers|Day's Locksmiths;0.0063;44.0000;BEAST;WARRIOR;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;6.0;12.0;3.0;0;0;0;0;0;0;0;0;0
Wrongdoing's Suspending Workers|The Heralds of Silk Collection;0.0599;64.0000;BEAST;SPELL;;1.0;0;2.0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;4.0;0;2.0;0;0;0;3.0;3.0;3.0;2.0;1.0;0;0;0;0;0;0;0;0
Wrongdoing's Suspending Workers|The Causing Titanic Venom Wildlings;0.0052;36.0000;BEAST;;;1.0;0;0;0;0;3.0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;6.0;2.0;0;0;0;0;0;0;0;0;0
Wrongdoing's Suspending Workers|Impulse's Shadowflame Squad;0.0659;44.0000;BEAST;MAGE;;1.0;0;2.0;0;0;0;1.0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;3.0;0;1.0;1.0;0;0;0;0;0;0;0;0
Wrongdoing's Suspending Workers|The Mutant Constructing Gang;0.0030;39.0000;BEAST;ROBOT;MAGE;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;0;0;0;3.0;3.0;2.0;3.0;0;0;0;0;0;0;0;0
Wrongdoing's Suspending Workers|The Scavenger Rabid Daggers;0.0024;35.0000;BEAST;;;1.0;0;0;0;0;1.0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;3.0;1.0;0;0;3.0;0;0;0;0;0
